# first two lines are: collector r [mum],  r/R ratio
#
R 300 200 150 100 70 60 50 40 30 20 10
r 0.05 0.10 0.15 0.20 0.25 0.30 0.35 0.40 0.45 0.50 0.55 0.60 0.65 0.70 0.75 0.80 0.85 0.90 0.95 1.00
#
   0.97 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
   0.87 0.96 0.98 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
   0.77 0.93 0.97 0.97 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
   0.50 0.79 0.91 0.95 0.95 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
   0.20 0.58 0.75 0.84 0.88 0.90 0.92 0.94 0.95 0.95 0.95 0.95 0.95 0.95 0.97 1.00 1.02 1.04 2.30 4.00
   0.05 0.43 0.64 0.77 0.84 0.87 0.89 0.90 0.91 0.91 0.91 0.91 0.91 0.92 0.93 0.95 1.00 1.03 1.70 3.00
  0.005 0.40 0.60 0.70 0.78 0.83 0.86 0.88 0.90 0.90 0.90 0.90 0.89 0.88 0.88 0.89 0.92 1.01 1.30 2.30
  0.001 0.07 0.28 0.50 0.62 0.68 0.74 0.78 0.80 0.80 0.80 0.78 0.77 0.76 0.77 0.77 0.78 0.79 0.95 1.40
 0.0001 0.002 0.02 0.04 0.085 0.17 0.27 0.40 0.50 0.55 0.58 0.59 0.58 0.54 0.51 0.49 0.47 0.45 0.47 0.52
 0.0001 0.0001 0.005 0.016 0.022 0.03 0.043 0.052 0.064 0.072 0.079 0.082 0.080 0.076 0.067 0.057 0.048 0.040 0.033 0.027
 0.0001 0.0001 0.0001 0.014 0.017 0.019 0.022 0.027 0.030 0.033 0.035 0.037 0.038 0.038 0.037 0.036 0.035 0.032 0.029 0.027
